# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 2 3 1 0 1.3062 1.206 1.251 1.36 1.387 1.0059 -99.0 1.0059 -99.0 4194900000.0 2.0 1.306 3.0 -42.09 27.47 613640000.0 2796600000.0 1.68 -99.0 -99.0 -99.0 -99.0 2 00000 -1.0 3.0
uds 5 3 1 0 1.5442 1.416 1.47 1.598 1.813 6.331 5.4911 0.83987 50377000000.0 3502400000.0 1.0 1.544 3.0 18.9 27.63 2099900000.0 2334900000.0 -0.59 -99.0 -99.0 -99.0 -99.0 5 00000 -1.0 1.0
uds 10 3 1 0 1.2572 1.079 1.176 1.334 1.371 22.112 14.072 8.0398 129100000000.0 33527000000.0 0.0 1.257 3.0 87.72 26.2 31953000000.0 22351000000.0 -1.62 -99.0 -99.0 -99.0 -99.0 10 00000 -1.0 1.0
uds 15 3 1 0 1.8484 1.707 1.757 1.955 2.03 24.962 21.357 3.6046 195940000000.0 15032000000.0 0.0 1.848 3.0 78.53 20.73 16441000000.0 10021000000.0 -1.77 -99.0 -99.0 -99.0 -99.0 15 00000 -1.0 1.0
uds 16 3 1 0 0.9261 0.851 0.886 0.968 1.005 0.98502 0.28318 0.70184 2598000000.0 2926800000.0 1.0 0.9261 3.0 5.778 24.71 2154800000.0 1951200000.0 -1.06 -99.0 -99.0 -99.0 -99.0 16 00000 -1.0 1.0
uds 20 3 1 0 0.7307 0.681 0.7 0.761 0.801 8.0893 7.8973 0.19201 72452000000.0 800690000.0 0.0 0.7307 3.0 250.1 25.43 175560000.0 533790000.0 1.25 -99.0 -99.0 -99.0 -99.0 20 00000 -1.0 2.0
uds 28 3 1 0 0.8357 0.755 0.789 0.882 0.922 0.48728 -99.0 0.48728 -99.0 2032000000.0 2.0 0.8357 3.0 -43.7 22.32 2266800000.0 1354700000.0 -1.85 -99.0 -99.0 -99.0 -99.0 28 00000 -1.0 1.0
uds 38 3 1 0 1.1702 0.878 1.01 1.335 1.46 0.95162 0.5496 0.40203 5042200000.0 1676500000.0 1.0 1.17 3.0 4.756 21.83 1866500000.0 1117700000.0 -1.84 -99.0 -99.0 -99.0 -99.0 38 00000 -1.0 1.0
uds 58 3 1 0 1.7082 1.594 1.645 1.77 1.814 15.763 9.5008 6.2619 87163000000.0 26113000000.0 0.0 1.708 3.0 34.45 19.24 27388000000.0 17409000000.0 -1.76 -99.0 -99.0 -99.0 -99.0 58 00000 -1.0 1.0
uds 67 3 1 0 2.4966 2.305 2.398 2.595 2.683 22.085 16.898 5.1872 155030000000.0 21631000000.0 1.0 2.497 3.0 23.11 27.62 22121000000.0 14421000000.0 -1.66 -99.0 -99.0 -99.0 -99.0 67 00000 -1.0 1.0
uds 70 3 1 0 1.5016 1.397 1.451 1.558 1.582 3.1695 -99.0 3.1695 -99.0 13217000000.0 2.0 1.502 3.0 -59.26 16.84 16366000000.0 8811400000.0 -1.98 -99.0 -99.0 -99.0 -99.0 70 00000 -1.0 1.0
uds 71 3 1 0 0.9248 0.86 0.889 0.96 0.992 6.1394 4.9194 1.2201 45132000000.0 5087900000.0 0.0 0.9248 3.0 100.8 24.98 5688200000.0 3392000000.0 -1.87 -99.0 -99.0 -99.0 -99.0 71 00000 -1.0 1.0
uds 78 3 1 0 1.9233 1.696 1.802 2.048 2.143 2.8018 -99.0 2.8018 -99.0 11684000000.0 2.0 1.923 3.0 -8.975 27.97 9598900000.0 7789100000.0 -1.32 -99.0 -99.0 -99.0 -99.0 78 00000 -1.0 1.0
uds 86 3 1 0 1.6335 1.47 1.538 1.738 1.841 2.9696 -99.0 2.9696 -99.0 12384000000.0 2.0 1.633 3.0 -4.963 27.52 10411000000.0 8255800000.0 -1.41 -99.0 -99.0 -99.0 -99.0 86 00000 -1.0 1.0
uds 89 3 1 0 0.948 0.785 0.87 1.041 1.097 0.96946 0.76282 0.20664 6998300000.0 861730000.0 1.0 0.948 3.0 14.46 25.89 803580000.0 574480000.0 -1.49 -99.0 -99.0 -99.0 -99.0 89 00000 -1.0 1.0
uds 93 3 1 0 1.4394 0.988 1.309 1.579 1.778 3.9236 3.2987 0.62483 30264000000.0 2605600000.0 1.0 1.439 3.0 12.42 23.11 2173800000.0 1737100000.0 -1.36 -99.0 -99.0 -99.0 -99.0 93 00000 -1.0 1.0
uds 98 3 1 0 0.6 0.208 0.463 0.742 0.82 0.4321 0.38688 0.04522 3549400000.0 188570000.0 1.0 0.6 3.0 18.08 21.98 201910000.0 125710000.0 -1.8 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 1.0
uds 102 3 1 0 0.9462 0.83 0.884 1.013 1.082 0.82393 0.2537 0.57023 2327500000.0 2377900000.0 1.0 0.9462 3.0 4.84 29.69 2759300000.0 1585300000.0 -1.92 -99.0 -99.0 -99.0 -99.0 102 00000 -1.0 1.0
uds 105 3 1 0 1.7417 1.461 1.632 1.853 1.981 1.5216 -99.0 1.5216 -99.0 6345300000.0 2.0 1.742 3.0 -16.51 17.85 7009600000.0 4230200000.0 -1.84 -99.0 -99.0 -99.0 -99.0 105 00000 -1.0 1.0
uds 109 3 1 0 0.6793 0.608 0.641 0.717 0.745 1.755 1.2471 0.50787 11442000000.0 2117900000.0 0.0 0.6793 3.0 46.24 22.13 2340600000.0 1411900000.0 -1.88 -99.0 -99.0 -99.0 -99.0 109 00000 -1.0 1.0
uds 115 3 1 0 1.3945 1.266 1.334 1.458 1.52 1.1954 -99.0 1.1954 -99.0 4985000000.0 2.0 1.394 3.0 -11.5 12.14 4816400000.0 3323300000.0 -1.59 -99.0 -99.0 -99.0 -99.0 115 00000 -1.0 1.0
uds 117 3 1 0 0.9456 0.852 0.891 1.02 1.076 0.89316 -99.0 0.89316 -99.0 3724600000.0 2.0 0.9456 3.0 -2.522 21.26 4310100000.0 2483100000.0 -1.9 -99.0 -99.0 -99.0 -99.0 117 00000 -1.0 1.0
uds 118 3 1 0 1.5406 1.337 1.423 1.67 1.832 6.3548 4.8812 1.4737 44781000000.0 6145500000.0 0.0 1.541 3.0 16.83 11.84 6883000000.0 4097000000.0 -1.86 -99.0 -99.0 -99.0 -99.0 118 00000 -1.0 1.0
uds 119 3 1 0 0.8187 0.737 0.773 0.866 0.902 0.69801 -99.0 0.69801 -99.0 2910800000.0 2.0 0.8187 3.0 -12.48 17.09 3511100000.0 1940500000.0 -1.96 -99.0 -99.0 -99.0 -99.0 119 00000 -1.0 1.0
uds 124 3 1 0 2.2261 2.003 2.099 2.352 2.43 7.8308 3.0669 4.7639 28137000000.0 19866000000.0 1.0 2.226 3.0 6.612 31.48 13117000000.0 13244000000.0 -0.63 -99.0 -99.0 -99.0 -99.0 124 00000 -1.0 1.0
uds 131 3 1 0 0.8166 0.755 0.778 0.855 0.881 2.8761 1.2167 1.6594 11163000000.0 6919900000.0 0.0 0.8166 3.0 31.23 25.39 7619900000.0 4613300000.0 -1.85 -99.0 -99.0 -99.0 -99.0 131 00000 -1.0 1.0
